matter_env_seq,ca1_time,ca2_endpoint,ca3_species,ca4_value1,ca5_value2,ca6_value3,ca7_value4,ca8_value5,ca9_unit,ca10_tg,ca11_glp,ca12_ref,ca13_other,cb1_time,cb2_endpoint,cb3_species,cb4_value1,cb5_value2,cb6_value3,cb7_value4,cb8_value5,cb9_unit,cb10_tg,cb11_glp,cb12_ref,cb13_other,cc1_time,cc2_endpoint,cc3_species,cc4_value1,cc5_value2,cc6_value3,cc7_value4,cc8_value5,cc9_unit,cc10_tg,cc11_glp,cc12_ref,cc13_other,cd1_time,cd2_endpoint,cd3_species,cd4_value1,cd5_value2,cd6_value3,cd7_value4,cd8_value5,ca9_unit,cd10_tg,cd11_glp,cd12_ref,cd13_other,ce1_time,ce2_endpoint,ce3_species,ce4_value1,ce5_value2,ce6_value3,ce7_value4,ce8_value5,ce9_unit,ce10_tg,ce11_glp,ce12_ref,ce13_other,cf1_time,cf2_endpoint,cf3_species,cf4_value1,cf5_value2,cf6_value3,cf7_value4,cf8_value5,cf9_unit,cf10_tg,cf11_glp,cf12_ref,cf13_other,cg1_time,cg2_endpoint,cg3_species,cg4_value1,cg5_value2,cg6_value3,cg7_value4,cg8_value5,cg9_unit,cg10_tg,cg11_glp,cg12_ref,cg13_other,ch1_time,ch2_endpoint,ch3_species,ch4_value1,ch5_value2,ch6_value3,ch7_value4,ch8_value5,ch9_unit,"ch10_tg""",ch11_glp,ch12_ref,ch13_other,ch1_persistence,cj1_data,cj2_time,cj3_degrade,cj4_ref,cj5_other,ck1_value1,ck2_value2,ck3_value3,ck4_value4,ck5_value5,ck6_ref,ck6_other,cl1_value1,cl2_value2,cl3_value3,cl4_value4,cl5_value5,cl6_ref,cl6_other,cm1_data,cm2_ref,cm3_other,division_C1,division_C2,division_C3,matter_data_key
21,96 hr,LC50,Brachydanio rerio,550,,,,,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,30 day,생분해가 잘되므로 생체 내 축적될 잠재성이 낮음.,European chemical Substances Information System_(IUCLID),,72.81,,,,,EPI Suite,,7111,,,,,EPI Suite,토양에 흡착될 수 있음,,,,자료없음,자료없음,자료없음,68937-84-8#1
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,28 day,생분해가 잘되므로 생체 내 축적될 잠재성이 낮음,European chemical Substances Information System_(IUCLID),,3.162,,,,,EPI Suite,,2821000,,,,,EPI Suite,토양에 흡착될 수 있음,,,,자료없음,자료없음,자료없음,68476-03-9#1
23,96 hr,LC50,,27.209,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,27.423,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class :Neutral organics,96 hr,EC50,,21.485,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1594,,난분해성,EPI Suite,(BIOWIN1),3.162,,,,,EPI Suite,,138.8,,,,,EPI Suite,,,,,자료없음,자료없음,해당없음,38194-50-2#1
24,96 hr,LC50,기타(Heteropneustes fossilis),13,,,,,㎎/ℓ,,,HSDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,HSDB,,150,,,,,HSDB,,,,,자료없음,자료없음,자료없음,2540-82-1#1
25,96 hr,LC50,Brachydanio rerio,3.2,,,,,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,28 day,생분해가 잘되므로 생체 내 축적될 잠재성이 낮음,IUCLID(European chemical Substances Information System),,10,,,,,EPI Suite,,923.9,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,자료없음,구분1,65997-04-8#1
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.4,,,,,EPI Suite,생물 농축 가능성 있음,34810000,,,,,EPI Suite,토양에 흡착될 수 있음,,,,구분1,구분1,자료없음,64741-58-8#1
27,96 hr,LC50,,1160.381,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,75.602,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class : Aliphatic Amines,96 hr,EC50,,16.316,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3995,,난분해성,EPI Suite,(BIOWIN2),3.162,,,,,EPI Suite,,0.8158,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,구분3,자료없음,61791-32-0#1
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9916,,난분해성,EPI Suite,(BIOWIN6),3.162,,,,,EPI Suite,,2.356E+13,,,,,EPI Suite,토양에 흡착될 수 있음,,,,자료없음,구분4,자료없음,68153-81-1#1
29,96 hr,LC50,,10370.962,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,4129.328,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class : Neutral organics,96 hr,EC50,,705.143,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4722,,난분해성,EPI Suite,(BIOWIN5),3.162,,,,,EPI Suite,,1.875,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,해당없음,자료없음,4437-51-8#1
30,96 hr,LC50,Oncorhynchus mykiss,67,,,,,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,48 hr,EC50,,30,,,,,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1382,,난분해성,EPI Suite,(BIOWIN5),3.162,,,,,EPI Suite,,14990000000,,,,,EPI Suite,토양에 흡착될 수 있음,,,,자료없음,구분2,자료없음,83846-43-9#1
